timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:56:39.3338687 +0300 EAT m=+499.938451401,-0.27341643,-0.3729002,-0.32655236,-70.26629,0.40675172,-1.7221814
2022-12-19 14:56:39.4340791 +0300 EAT m=+500.038661801,-0.09492739,-0.2761777,-0.023366008,-33.89339,28.847239,0.44964075
2022-12-19 14:56:39.5402333 +0300 EAT m=+500.144816001,-0.16110085,-0.26331693,-0.13921809,-47.014534,17.21426,-0.52364314
2022-12-19 14:56:39.6355042 +0300 EAT m=+500.240086901,-0.29814345,-0.43735954,-0.36312905,-75.87768,-1.8135626,-1.8345671
2022-12-19 14:56:39.7342026 +0300 EAT m=+500.338785301,-0.32020357,-0.41301224,-0.4048898,-79.920586,-6.689106,-2.239933
2022-12-19 14:56:39.8466829 +0300 EAT m=+500.451265601,-0.3770338,-0.50182086,-0.48437458,-93.300514,-10.31484,-2.6432762
2022-12-19 14:56:39.940605 +0300 EAT m=+500.545187701,-0.15848604,-0.3083472,-0.13685976,-46.26186,16.954052,-0.3680838
2022-12-19 14:56:40.0390361 +0300 EAT m=+500.643618801,-0.12976727,-0.24371724,-0.08003932,-41.257633,24.10912,-0.109676
2022-12-19 14:56:40.1415207 +0300 EAT m=+500.746103401,-0.2651594,-0.36941528,-0.33138114,-66.59417,-4.2985744,-1.7469623
2022-12-19 14:56:40.2424505 +0300 EAT m=+500.847033201,-0.4049908,-0.49146006,-0.54626477,-97.47801,-19.362011,-3.157111
2022-12-19 14:56:40.3403498 +0300 EAT m=+500.944932501,-0.12816212,-0.26038194,-0.087358035,-39.870575,21.15276,-0.10637964
2022-12-19 14:56:40.4468756 +0300 EAT m=+501.051458301,-0.20661768,-0.2975772,-0.22854576,-55.022617,6.1235657,-1.1306607
2022-12-19 14:56:40.5419334 +0300 EAT m=+501.146516101,-0.1475302,-0.23890501,-0.11273324,-44.61136,20.477253,-0.38582185
2022-12-19 14:56:40.6463892 +0300 EAT m=+501.250971901,-0.038796347,-0.21878642,0.073846936,-22.651905,38.39417,1.0652392
2022-12-19 14:56:40.7450931 +0300 EAT m=+501.349675801,-0.18114905,-0.31481338,-0.15535702,-52.99041,19.730555,-0.5251386
2022-12-19 14:56:40.8486787 +0300 EAT m=+501.453261401,-0.28752804,-0.4638784,-0.32563853,-75.767715,6.08362,-1.477285
2022-12-19 14:56:40.9497102 +0300 EAT m=+501.554292901,-0.26748604,-0.4018996,-0.3256567,-68.08934,-1.587113,-1.6167768
2022-12-19 14:56:41.0489024 +0300 EAT m=+501.653485101,-0.18453763,-0.24451555,-0.20065795,-49.508224,6.5807834,-1.049406
2022-12-19 14:56:41.1568166 +0300 EAT m=+501.761399301,-0.102311276,-0.21559045,-0.0736661,-31.413979,15.629727,-0.08868506
2022-12-19 14:56:41.2525934 +0300 EAT m=+501.857176101,-0.22122952,-0.34998623,-0.22259541,-61.247093,13.610085,-0.96715194
2022-12-19 14:56:41.3538 +0300 EAT m=+501.958382701,-0.15622039,-0.32941487,-0.11532036,-47.666874,22.958708,-0.15403989
2022-12-19 14:56:41.4606448 +0300 EAT m=+502.065227501,-0.14184467,-0.31356278,-0.086211406,-45.232235,26.748997,0.02883105
2022-12-19 14:56:41.5608252 +0300 EAT m=+502.165407901,-0.104310244,-0.40855464,0.03215358,-43.34552,50.13883,1.1992484
2022-12-19 14:56:41.6660511 +0300 EAT m=+502.270633801,-0.30779335,-0.51424307,-0.36724028,-79.13996,0.5523885,-1.6557437
2022-12-19 14:56:41.7586097 +0300 EAT m=+502.363192401,-0.25760746,-0.38683277,-0.31041753,-65.91368,-0.50265837,-1.5358931
2022-12-19 14:56:41.8572119 +0300 EAT m=+502.461794601,-0.1918625,-0.3978033,-0.17237058,-55.298615,18.382454,-0.4182757
2022-12-19 14:56:41.9595217 +0300 EAT m=+502.564104401,-0.13266885,-0.2998309,-0.064014584,-44.0599,30.324196,0.15941708
