timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:55:39.3775432 +0300 EAT m=+439.982125901,-0.21314214,-0.4985596,-0.15996471,-64.758156,30.473528,-0.082184345
2022-12-19 14:55:39.4835007 +0300 EAT m=+440.088083401,-0.16901058,-0.439308,-0.113653675,-52.741615,28.364868,0.15507947
2022-12-19 14:55:39.5809107 +0300 EAT m=+440.185493401,-0.35412502,-0.6182459,-0.4080745,-92.57708,5.2418823,-1.7278018
2022-12-19 14:55:39.6775553 +0300 EAT m=+440.282138001,-0.26262048,-0.54586136,-0.27531904,-71.53728,12.586617,-0.83625895
2022-12-19 14:55:39.7804251 +0300 EAT m=+440.385007801,-0.06249661,-0.25381875,0.01557693,-25.580996,28.860435,0.7202787
2022-12-19 14:55:39.8791524 +0300 EAT m=+440.483735101,-0.15860802,-0.3362064,-0.13436227,-46.572113,17.791357,-0.2686585
2022-12-19 14:55:39.9869309 +0300 EAT m=+440.591513601,-0.089190766,-0.33597976,-0.011116168,-32.98874,30.545654,0.7232657
2022-12-19 14:55:40.0858926 +0300 EAT m=+440.690475301,-0.22297186,-0.4390772,-0.21056065,-63.184326,18.098557,-0.6246904
2022-12-19 14:55:40.1832172 +0300 EAT m=+440.787799901,-0.17989038,-0.37731808,-0.17937325,-49.974167,11.563514,-0.5000352
2022-12-19 14:55:40.297875 +0300 EAT m=+440.902457701,-0.16551305,-0.29219976,-0.1623722,-46.26131,11.504089,-0.6051397
2022-12-19 14:55:40.3893103 +0300 EAT m=+440.993893001,-0.1285523,-0.34158736,-0.070036255,-41.847786,26.813334,0.2516272
2022-12-19 14:55:40.4871741 +0300 EAT m=+441.091756801,-0.10140146,-0.25409994,-0.05427983,-33.111107,21.462044,0.15948574
2022-12-19 14:55:40.591981 +0300 EAT m=+441.196563701,-0.14901333,-0.32340613,-0.12316216,-44.078983,17.694233,-0.20913875
2022-12-19 14:55:40.6887842 +0300 EAT m=+441.293366901,-0.11224977,-0.29425302,-0.070161976,-35.590355,20.537628,0.14655359
2022-12-19 14:55:40.8034531 +0300 EAT m=+441.408035801,-0.039106954,-0.19864213,0.060346134,-21.346294,34.20704,0.9129463
2022-12-19 14:55:40.8898764 +0300 EAT m=+441.494459101,-0.0034581705,-0.23008977,0.12862036,-14.89633,42.339928,1.5499314
2022-12-19 14:55:40.9910168 +0300 EAT m=+441.595599501,-0.21667801,-0.44370505,-0.18441837,-63.53215,24.033478,-0.4191888
2022-12-19 14:55:41.0953348 +0300 EAT m=+441.699917501,-0.15764211,-0.36031508,-0.11668106,-48.067837,23.061296,-0.07471277
2022-12-19 14:55:41.1946032 +0300 EAT m=+441.799185901,-0.18802051,-0.3930373,-0.15057056,-56.127365,23.872715,-0.2756507
2022-12-19 14:55:41.3076041 +0300 EAT m=+441.912186801,-0.23389669,-0.4420639,-0.23194672,-65.112114,15.455186,-0.7855645
2022-12-19 14:55:41.395553 +0300 EAT m=+442.000135701,-0.110772066,-0.32821307,-0.030586835,-39.20026,32.600346,0.51974386
2022-12-19 14:55:41.4941147 +0300 EAT m=+442.098697401,-0.10424306,-0.3258626,-0.0049681957,-39.402767,38.27969,0.70148987
2022-12-19 14:55:41.5955595 +0300 EAT m=+442.200142201,-0.29122525,-0.5520296,-0.30953166,-78.88338,12.621807,-1.1142834
2022-12-19 14:55:41.7080662 +0300 EAT m=+442.312648901,-0.25444624,-0.36570272,-0.2865588,-67.2204,5.909965,-1.4293743
2022-12-19 14:55:41.8002868 +0300 EAT m=+442.404869501,-0.28019294,-0.4405091,-0.33193138,-72.29422,1.2690378,-1.573113
2022-12-19 14:55:41.9011999 +0300 EAT m=+442.505782601,-0.22698253,-0.3580531,-0.23621687,-62.01329,11.462987,-1.0486289
2022-12-19 14:55:42.0066862 +0300 EAT m=+442.611268901,-0.16902846,-0.3681571,-0.12758666,-51.27828,23.940296,-0.15094368
2022-12-19 14:55:42.1127029 +0300 EAT m=+442.717285601,-0.067252964,-0.25919387,0.024170844,-28.309582,33.42609,0.78407
2022-12-19 14:55:42.2031442 +0300 EAT m=+442.807726901,-0.09934141,-0.24531803,-0.031272784,-34.74973,28.02161,0.29442352
2022-12-19 14:55:42.314237 +0300 EAT m=+442.918819701,-0.22197817,-0.41639566,-0.24396838,-59.2786,7.055364,-0.9169559
2022-12-19 14:55:42.419386 +0300 EAT m=+443.023968701,-0.21340021,-0.4339322,-0.18594107,-62.11602,22.293573,-0.45125523
2022-12-19 14:55:42.5104429 +0300 EAT m=+443.115025601,-0.36273083,-0.6475159,-0.42712346,-93.86326,2.4495745,-1.7895817
2022-12-19 14:55:42.6106603 +0300 EAT m=+443.215243001,-0.24149619,-0.4299621,-0.25388294,-65.70819,11.365587,-0.9875697
2022-12-19 14:55:42.7088993 +0300 EAT m=+443.313482001,-0.006824874,-0.22135396,0.11833995,-15.101069,40.349453,1.4465976
2022-12-19 14:55:42.8157732 +0300 EAT m=+443.420355901,-0.0984846,-0.36798194,-0.009728032,-36.69492,34.542473,0.80701476
2022-12-19 14:55:42.9147319 +0300 EAT m=+443.519314601,-0.07600357,-0.28432333,0.0192451,-31.141466,35.20025,0.8056962
2022-12-19 14:55:43.0101572 +0300 EAT m=+443.614739901,-0.092530325,-0.27036113,-0.027632967,-32.52503,26.567532,0.40870073
2022-12-19 14:55:43.1156887 +0300 EAT m=+443.720271401,-0.26637757,-0.41007754,-0.31716838,-68.560455,0.6966332,-1.5323149
2022-12-19 14:55:43.2134473 +0300 EAT m=+443.818030001,-0.31922758,-0.52743334,-0.4033399,-79.71031,-6.596783,-1.887493
2022-12-19 14:55:43.3114334 +0300 EAT m=+443.916016101,-0.31204417,-0.4793648,-0.3789247,-79.53518,-1.5410885,-1.8482126
2022-12-19 14:55:43.4585994 +0300 EAT m=+444.063182101,-0.18655764,-0.306733,-0.20252024,-50.085423,6.7446504,-0.88183796
2022-12-19 14:55:43.5129407 +0300 EAT m=+444.117523401,-0.106312625,-0.21480241,-0.08271169,-31.992096,14.274789,-0.16143972
2022-12-19 14:55:43.6159044 +0300 EAT m=+444.220487101,-0.03997304,-0.20401196,0.058970742,-21.532892,34.098392,0.9176091
2022-12-19 14:55:43.7183285 +0300 EAT m=+444.322911201,-0.093945675,-0.27210498,-0.026740886,-33.161266,27.394352,0.41679025
2022-12-19 14:55:43.8245327 +0300 EAT m=+444.429115401,-0.23738882,-0.35184386,-0.29041964,-60.279713,-1.8561168,-1.4587685
2022-12-19 14:55:43.9307631 +0300 EAT m=+444.535345801,-0.33333597,-0.4798791,-0.42664188,-82.6553,-8.619338,-2.2185473
